Path_Segment,Frequency,Average_Hours,Minimum_Hours,Maximum_Hours,Std_Dev_Hours,Unique_IDs
A-A,21,1440.0,1440.0,1440.0,0.0,19
A-B,8,1440.0,1440.0,1440.0,0.0,8
A-C,13,1440.0,1440.0,1440.0,0.0,13
A-D,933,2056.59,1440.0,2160.0,252.64,927
A-E,16,1440.0,1440.0,1440.0,0.0,16
A-F,17,1440.0,1440.0,1440.0,0.0,17
A-G,22,1440.0,1440.0,1440.0,0.0,22
B-B,2,1440.0,1440.0,1440.0,0.0,2
B-D,23,1440.0,1440.0,1440.0,0.0,23
C-A,2,1440.0,1440.0,1440.0,0.0,2
C-D,19,1440.0,1440.0,1440.0,0.0,19
C-G,1,1440.0,1440.0,1440.0,,1
D-A,6,1440.0,1440.0,1440.0,0.0,6
D-B,14,1440.0,1440.0,1440.0,0.0,14
D-C,9,1440.0,1440.0,1440.0,0.0,9
D-D,911,2071.48,1440.0,2160.0,236.56,892
D-E,17,1440.0,1440.0,1440.0,0.0,17
D-F,19,1440.0,1440.0,1440.0,0.0,19
D-G,23,1440.0,1440.0,1440.0,0.0,23
E-A,1,1440.0,1440.0,1440.0,,1
E-D,30,1440.0,1440.0,1440.0,0.0,30
E-E,3,1440.0,1440.0,1440.0,0.0,3
E-F,2,1440.0,1440.0,1440.0,0.0,2
F-B,1,1440.0,1440.0,1440.0,,1
F-D,38,1440.0,1440.0,1440.0,0.0,38
F-F,2,1440.0,1440.0,1440.0,0.0,2
F-G,1,1440.0,1440.0,1440.0,,1
G-D,45,1440.0,1440.0,1440.0,0.0,45
G-F,2,1440.0,1440.0,1440.0,0.0,2
